claim,claim_id,label
The Tim Allen show 'Last Man Standing' was cancelled due to the star's political beliefs.,UL000097,unproven
"The Trump administration is building ""tent cities"" to house minor immigrants.",UL000098,unproven
Visitors to prisons in Virginia are prohibited from wearing tampons or menstrual cups.,UL000099,unproven
"Today, it is more difficult to enlist in the U.S. military than it is to enroll in college.",UL000100,unproven
"A cryptic blog called ""Two Droplets"" told the story of the catastrophic effect of two droplets of drain cleaner on a family's life.",UL000101,refutes
Psoriasis and psoriatic arthritis symptoms curbed by bariatric surgery,UL000102,unproven
A photograph shows a rhino that was given a pink horn to prevent poaching.,UL000103,unproven
"Italy has stopped treating elderly coronavirus patients due to ""socialized medicine.",UL000104,unproven
"Sean Tagert's decision to obtain a physician-assisted suicide was caused, in part or in whole, by a regional health authority's failure to provide what he regarded as necessary care.",UL000105,unproven
Viral image Says Harvard scientists say the coronavirus is “spreading so fast that it will infect 70% of humanity this year.”,UL000106,unproven
An angry mother delivered a scathing response to school officials after her daughter was punished for punching a classmate who snapped her bra.,UL000107,refutes
"Dr. Ted Noel has said that after evaluating Hillary Clinton from afar, he’s concluded that she has Parkinson’s disease.",UL000108,supports
"A California teen named Connor Reid Eckhardt was determined to have died after smoking a synthetic marijuana compound known as ""spice"" or K2.",UL000109,unproven
"Rumors have circulated social media sites that aspartame, an artificial sweetener used in soft drinks and food, is made from the feces of genetically modified (GM)  E. coli bacteria.",UL000110,unproven
Two men arrested for their part in Turkey's attempted military takeover are CIA agents.,UL000111,unproven
"Bounce fabric softener dryer sheets repel bugs like mosquitoes, gnats and flies.",UL000112,unproven
Postoperative wound monitoring app can reduce readmissions and improve patient care,UL000113,unproven
Novel Stem Cell Treatment May Hold Promise for Type 1 Diabetes,UL000114,unproven
Mountain Dew and other sodas contain a dangerous chemical known as brominated vegetable oil (BVO).,UL000115,unproven
Certain foods may be the best medicine for lowering ‘bad’ cholesterol,UL000116,unproven
"Statins and cancer risk: Pay attention, but don’t panic",UL000117,unproven
A new version of an old Internet legend that expired cake mix can be fatal has been making its way into email inboxes.,UL000118,unproven
The government's twice the size it was 10 years ago. It's 30 percent bigger than it was when (Barack) Obama became president.,UL000119,unproven
"In the current law, if you report harassment, you're the one that has to go into 20 hours of counseling before you can decide whether you were really harassed.",UL000120,unproven
American Atheists are opposing the incorporation of a steel-beam cross found in the World Trade Center rubble into a September 11 memorial and museum.,UL000121,unproven
A photograph shows a memorial for aborted babies with an angel crying over the empty cradle of the infant that it was supposed to guard.,UL000122,unproven
Prostate Cancer Drug Gets Lukewarm Review,UL000123,unproven
Parent's Choice diapers are causing small children to suffer chemical burns.,UL000124,unproven
Proposed legislation in Kentucky (HB 148) mandates women report whether they are pregnant or not every month.,UL000125,unproven
A message said to be from an Iowa Army National Guardsman named Ray Reynolds who is serving in Iraq. It lists a number of improvements in Iraq since the U.S. led incursion in 2003.,UL000126,refutes
"Joe Biden ""already has what is the most progressive platform of any major party nominee in history.",UL000127,unproven
"Michael Alonzo Thompson was imprisoned for decades for selling marijuana, while Joseph Robert Meili got five years' probation for kidnapping and raping an 11-year-old girl.",UL000128,unproven
"Mercury (aka thimerosal or thiomersal) is in vaccines and can damage brain, gut, liver, bone marrow, nervous system and kidneys, is linked to autoimmune disorder, autism.",UL000129,refutes
"The Susan G. Komen breast cancer organization gives only 20% of their donations to cancer research and pays their CEO $684,000 per year.",UL000130,refutes
"Texas ranks: #1 in worker deaths, #1 carbon emissions, #50 in high school graduates, #50 in funding for mental health patients.",UL000131,unproven
Allina study shows patients with very small breast tumors may forgo lymph node biopsies,UL000132,unproven
Global surface temperatures have been flat for 16 years.,UL000133,unproven
"Pat Toomey ""still supports privatizing Social Security.",UL000134,unproven
"A photograph shows an anti-rape device known as RapeX, a female condom with teeth lining the inside.",UL000135,refutes
"More than 30,000 cows froze to death during a winter storm because farmers could not be bothered to take care of their animals.",UL000136,unproven
Avastin Largely Safe for Patients With Type of Advanced Lung Cancer,UL000137,refutes
Eating more vegetable protein may protect against early menopause,UL000138,unproven
Image shows New York Gov. Andrew Cuomo's pierced nipples in a white polo shirt.,UL000139,unproven
Noninvasive Test May Identify Down Syndrome Early On,UL000140,unproven
The Healthy Skeptic: telomerase activators,UL000141,unproven
COVID-19 contact-tracing apps like Healthy Together and ABTraceTogether are tracking you and also the people in your phone contacts and Facebook friends lists.,UL000142,unproven
Dale Peterson Says his opponent Dorman Grace brags on his Facebook page about receiving illegal campaign contributions.,UL000143,unproven
"Canadians can be fined $1,000 for eating while driving.",UL000144,unproven
Marijuana cigarettes deposit four times more tar into smokers' lungs than tobacco-based cigarettes.,UL000145,unproven
"Literally, by the time a child is 18 years of age, they've killed over 100,000 people in video games and other online things.",UL000146,supports
"Non-surgical weight-loss treatment found safe, effective for those with limited options",UL000147,unproven
A list of comparative facts about margarine and butter.,UL000148,unproven
Marilyn Monroe's intelligence quotient was measured at 168.,UL000149,unproven
Treating depression w/ software: Tech from Mount Sinai steps into the digital healthcare universe,UL000150,unproven
United States President Donald Trump was fined $2 million for using funds collected as donations to veterans for his 2016 campaign.,UL000151,refutes
New Jersey’s once-broken pension system is now solvent.,UL000152,unproven
New painkiller studies show new risks,UL000153,unproven
“Clean coal technology” currently makes coal a clean source of energy and helps to reduce greenhouse gas emissions.,UL000154,unproven
"New Orleans Saints linebacker Demario Davis was fined by the NFL for wearing a ""Man of God"" headband.",UL000155,unproven
Walter Reed Medical Center guidelines prohibit the use or distribution of religious items during visits with patients.,UL000156,refutes
All in vein: New varicose veins treatments work quickly,UL000157,supports
Fish oil linked to lower Alzheimer’s risk,UL000158,unproven
"Mediterranean diet may help prevent dementia, study says",UL000159,unproven
XARELTO® (rivaroxaban) Associated with Significantly Reduced Time in Hospital and Decreased Costs Compared to Standard of Care in New Study of Patients with Low-Risk Pulmonary Embolism (PE),UL000160,unproven
Ultrasound Headset May Be New Way to Recognize Concussion on the Sidelines,UL000161,unproven
Hillary Clinton travels with a doctor carrying a Diazepam pen in case she has a seizure.,UL000162,supports
Indiana Gov. Eric Holcomb passed a law that will lead to jail time for women who fail to disclose abortions.,UL000163,unproven
Bioidentical hormones for menopausal symptoms,UL000164,unproven
Kellogg's is adding traces of peanut flour to its products.,UL000165,refutes
The costs for families (in the individual market) for the same type of coverage that they're currently receiving would go down 14 percent to 20 percent.,UL000166,unproven
Swabbing ticks with liquid soap is a recommended and effective method for removing them.,UL000167,refutes
"A treatment for a serious disease that costs $900 in India is sold for $84,000 in the United States because of corporate greed.",UL000168,unproven
"Facebook user Heather Hanford described her son, Isaac’s, reaction to Tamiflu. Also, Facebook user Melissa Rodriguez said her daughter tried to kill her after taking Tamiflu.",UL000169,unproven
Nonsurgical treatment can correct congenital ear malformations in infants,UL000170,unproven
"As governor of Florida, I used a combination of strategies to help reduce heroin use among youth in Florida by approximately 50 percent.",UL000171,unproven
"During pregnancy, a woman’s brain shrinks and takes up to six months to regain its previous size.",UL000172,refutes
California wine contains dangerous levels of arsenic.,UL000173,unproven
"New Stomach Stapling Procedure: No Surgery, Less Recovery Time",UL000174,unproven
"A study proved that humans ingest five grams of plastic a week, similar to eating one credit card per person per week.",UL000175,unproven
FDA approves cancer treatment that uses virus to attack tumors,UL000176,unproven
"Ryan Frazier Says ""Michael Bennet votes for President Obama's agenda 98 percent of the time. Hardly independent, hardly bipartisan.",UL000177,unproven
Zafgen reports promising results from weight-loss drug study,UL000178,unproven
"Michael Bloomberg Says of President Donald Trump’s actions on the coronavirus: “No. 1, he fired the pandemic team two years ago. No. 2, he's been defunding the Centers for Disease Control.”",UL000179,unproven
Former President Barack Obama's administration was to blame for the shortage of protective equipment like N95 respirator masks in the early months of the 2020 COVID-19 pandemic.,UL000180,unproven
New Merck osteoporosis drug boosts bone density,UL000181,unproven
A list of statistics shows the leading causes of death in the United States through the first half of 2016.,UL000182,unproven
Chinese people are selling each other bags of fresh air because of air pollution.,UL000183,unproven
Eating farm-raised tilapia and other fish from China is dangerous.,UL000184,unproven
Treadmill test has limited usefulness,UL000185,unproven
Parents in Texas found a codeine tablet in a sealed canister of Gerber Puffs.,UL000186,unproven
"People who confronted an elderly woman as she attempted to cross a street using a walker were allied with anti-fascist (or ""antifa"") movements.",UL000187,unproven
"People With Mild Cognitive Impairment Should Exercise Twice a Week, Research Says",UL000188,unproven
People who have survived the COVID-19 coronavirus disease can become reinfected by the virus.,UL000189,unproven
"Private prisons sue states for millions of dollars if ""lockup quotas"" are not met, incentivizing incarceration.",UL000190,refutes
"U.S. President Donald Trump said state governors must ""treat me well"" in order to obtain masks and ventilators from federal reserves.",UL000191,unproven
An Indian man who was bitten by a snake then bit his wife because he wanted them to 'die together.',UL000192,unproven
Acupuncture Benefit Seen in Pregnancy,UL000193,unproven
"It used to be that the only children at school who weren't vaccinated were those who had true medical"" conditions. ""Now there are 19 states that allow personal belief exemptions.",UL000194,unproven
This New Blood Test Could Detect Concussions,UL000195,supports
Article lists a variety of household uses for WD-40 brand spray lubricant.,UL000196,unproven
Coca-Cola is an effective solution for eliminating head lice.,UL000197,unproven
FDA takes fresh step towards curbing U.S. nicotine addiction,UL000198,unproven
Every child in Colorado who has been given medical marijuana for treatment for seizures has had diminished seizure activity.,UL000199,unproven
"Charlie Crist Says Rick Scott ""pled the Fifth 75 times to avoid jail for Medicare fraud.",UL000200,unproven
More people today are leaving Virginia than moving in.,UL000201,unproven
We caught (the Texas Commission on Environmental Quality) lying to us about the results of air quality studies in the Barnett Shale.,UL000202,unproven
"Republicans are now ""taking credit"" for provisions of the health care bill ""that they had tried to derail.",UL000203,unproven
A Fox News guest referred to people injecting marijuana into their systems.,UL000204,unproven
"We're not engaged in nation-building"" in Afghanistan.",UL000205,unproven
"There are reports of suicides   and even murders resulting from the Doomsday prediction of Family   Radio’s Bible Teacher Harold Camping that judgment day would come on May   21, 2011 and that the true believers in Jesus Christ would be raptured   to heaven.",UL000206,refutes
Sylentis announces the results of tivanisiran for dry eye syndrome,UL000207,unproven
"Employees at a Five Guys restaurant in Daphne, Alabama, refused to serve local police officers.",UL000208,unproven
"FBI agent Peter Strzok II grew up in Iran; had a father who engaged in clandestine activities overseas under the guise of doing charitable work; served as a ""Middle East intel operative"" in the Obama administration; and was a CIA agent ""placed"" in the FBI to help Hillary Clinton win the presidency.",UL000209,unproven
The Westmoreland News ran a KKK ad on the front page of their newspaper in April 2018.,UL000210,unproven
The new supplement InteliGEN can boost brain function.,UL000211,unproven
Treating at the Earliest Sign of MS May Offer Long-Term Benefit,UL000212,unproven
Nathan Phillips falsely claimed to be a U.S. military veteran who served in the Vietnam War.,UL000213,refutes
"Early in America's history, white Irish slaves outnumbered black slaves and endured worse treatment at the hands of their masters.",UL000214,unproven
People who undergo amputations can sign paperwork allowing them to take the removed limbs home after the procedure.,UL000215,unproven
Atheists are trying to ban Bibles from all hotel rooms.,UL000216,unproven
"Wikileaks’ dump of John Podesta’s e-mails reveal conversations he had with a former NASA astronaut about the existence of aliens, alien technology, and space warfare.",UL000217,unproven
Spending on mental health went up by £575 million last year.,UL000218,refutes
"Last month, 20,000 migrant children were illegally brought into the United States. ... These children are used as human pawns by vicious coyotes and ruthless gangs.",UL000219,unproven
Weight loss can be boosted fivefold thanks to novel mental imagery technique,UL000220,unproven
Talk radio host Rush Limbaugh was disqualified from the Vietnam-era draft due to a pilonidal cyst.,UL000221,unproven
"For thousands of public employees, Wisconsin Gov. Scott Walker’s budget-repair bill would ""take away any say they have in the workplace, and eliminate their union.",UL000222,unproven
A photograh showing a body of water with two distinct colors is a permanent location where the Mississippi River meets the Gulf of Mexico.,UL000223,unproven
"U.S. Senator Kamala Harris bragged, boasted or laughed about prosecuting a homeless single mother in a January 2010 speech.",UL000224,unproven
Deborah Harry was nearly abducted by serial killer Ted Bundy in New York and narrowly escaped with her life.,UL000225,unproven
Photographs show a new Chinese aircraft carrier.,UL000226,unproven
"Beth Chapman, wife of Duane “Dog” Chapman from the reality TV show “Dog the Bounty Hunter,” died in April 2019.",UL000227,refutes
"During the August 2017 solar eclipse, some people in California applied sunscreen to their eyeballs in a mistaken attempt to protect their eyes from damage.",UL000228,unproven
Glaxo Touts Experimental Tykerb As Effective Breast-Cancer Treament,UL000229,unproven
Arminas Pileckas was murdered because he was trying to protect a Swedish girl from sexual harassment by a Syrian refugee.,UL000230,unproven
"The stimulus includes ""$219,000 to study the sex lives of female college freshmen.",UL000231,unproven
"In Small Test, Experimental Prostate Drug Shows Promise",UL000232,unproven
"When Size Matters, Men Can Turn to Penile Extenders: Study",UL000233,unproven
Death and disease from leptospirosis is spread by rat urine on soda cans.,UL000234,unproven
"As a state rep, I was considered the fourth-most conservative in the Legislature.”",UL000235,refutes
The Obama administration created a program to provide free cell phones to welfare recipients.,UL000236,refutes
Penn team finds success with talk therapy for schizophrenics,UL000237,unproven
Study Shows Limited Benefits From Calcium,UL000238,refutes
"In January 2020, Paula White prayed for all ""satanic pregnancies"" to ""miscarry right now.",UL000239,unproven
The FBI foiled a Muslim Brotherhood plot to take over the U.S.,UL000240,unproven
"In January 2019, Second Lady Karen Pence began working as a teacher at a school that bans LGBT teachers and students.",UL000241,unproven
Russian president Vladimir Putin slammed Western countries for using GMOs and vaccines that slow evolution.,UL000242,unproven
Huggies Snug and Dry brand diapers commonly cause severe diaper rash and chemical burns on infants.,UL000243,unproven
A letter to the editor suggested that 2007's early start to Daylight Saving Time contributed to global warming.,UL000244,unproven
"A Twitter user responded to Stephen King's assertion the COVID-19 pandemic was ""not like The Stand,"" sincerely asking King if he ""even read"" a book he actually wrote.",UL000245,unproven
"During a radio interview, Rosie O'Donnell said, ""I'd like to take my period blood and smear it all over Christians' [or pro-life people's] faces.",UL000246,unproven
Georgia teenager Maddie Kelley is endangered and needs help.,UL000247,unproven
Marijuana legalization has led to an increase in crime and fatalities all over Colorado.,UL000248,unproven
University of Findlay research students discovered a chemical compound that kills glioblastoma cells.,UL000249,unproven
Lilly diabetes drug slashes deaths 32 pct in heart-risk patients,UL000250,unproven
You can be fined $999 and have your license suspended simply for holding a cell phone in your car as of January 2019.,UL000251,unproven
"Senator Harry Reid said that he was injured in a freak New Year’s Eve workout accident but actually suffered those injuries in a fight with his brother, Larry Reid.",UL000252,unproven
A vast majority of the production in the United States comes from small independent oil and gas companies.,UL000253,unproven
"The Oklahoma Highway Patrol is using a device called an ""ERAD"" to seize money from people's bank accounts.",UL000254,refutes
Anti-smoking drug receives FDA approval,UL000255,refutes
Brain scans may someday detect autism,UL000256,supports
"Donald Trump divorced Ivana Trump because her breast implants were imperfect, and he leaked that information to New York tabloids while they were married.",UL000257,unproven
"Every time somebody new gets the Ebola virus, it mutates.",UL000258,unproven
Expanding Medicaid would create 63k jobs.,UL000259,unproven
Finding cancer that mammograms can miss,UL000260,unproven
"On Senate confirmation of judicial nominees, “the Democrats are holding them up beyond anything -- beyond comprehension, they're holding them up.”",UL000261,refutes
"New blood test may predict cardiovascular events in patients with or without coronary artery disease, research shows",UL000262,unproven
"1,000 GP practices have closed since 2010.",UL000263,unproven
Old drug could cure HIV-linked dementia,UL000264,unproven
"Under a new law regulating abortions, ""Even if you're raped, if you don't report it in the first 30 days, the Republicans will force you to have an ultrasound.",UL000265,unproven
A woman encountered kidnapping scouts at a Houston Target.,UL000266,unproven
A viral warning claims that a drug called burundanga on a business card poisoned a woman and advises people to beware of what has become known as “the zombie drug.”,UL000267,unproven
"We’ve got an average of 5,600 soldiers committing suicide. That’s about 20 a day.",UL000268,unproven
Discussion forums and social media have been abuzz with reports that Chic-fil-A offers a free meal for new moms.,UL000269,unproven
The best evidence is that you lose -- if you use marijuana as a teenager regularly -- eight IQ points.,UL000270,unproven
US OKs 1st drug aimed at women with inherited breast cancer,UL000271,refutes
Martin Luther King said our lives begin to end the day we become silent on things that matter.,UL000272,unproven
Swimmers have been warned about flesh-eating bacteria at Florida beaches along the Gulf of Mexico.,UL000273,unproven
"Teenage climate activist Greta Thunberg appeared on a CNN ""expert panel"" in a program about the COVID-19 coronavirus pandemic.",UL000274,unproven
"Hillary Clinton Says Bernie Sanders ""has been largely a very reliable supporter of the NRA.",UL000275,unproven
"Obamacare medical device tax ""has led to the loss of thousands of jobs"" in U.S.",UL000276,unproven
Doctors weigh brain-oxygen monitor,UL000277,unproven
"An employee at a women's health center in Bronx, New York, told an undercover pro-life activist she should dispose of a baby born alive after a failed abortion.",UL000278,unproven
We are seeing kids who are healthier.,UL000279,unproven
New Study Published on Cover of Urology Finds that Decipher® Prostate Cancer Classifier Reduces Conflicting Treatment Recommendations between Urologists and Radiation Oncologists,UL000280,unproven
Policies that legalize recreational marijuana exacerbate America’s opioid addiction epidemic.,UL000281,unproven
"Monarch butterflies are becoming extinct"" because of increased use of crops genetically modified to withstand pesticides.",UL000282,unproven
"A video shows a piece of raw chicken meat ""twitching"" off of a dinner table.",UL000283,unproven
"A Michigan farmer was forced to destroy 40,000 edible cherries to make way for cherries imported from outside the U.S.",UL000284,unproven
A clause in the document annexing Texas to the United States allowed for Texas to be divided into five different states.,UL000285,unproven
Hollywood is #1 in Broward homicides in 2013. Thanks Chief Fernandez!,UL000286,unproven
"In 2017 and 2018, teenage boys widely purchased and used a urethra-covering adhesive band called the Jiftip.",UL000287,unproven
Background checks have been unequivocally shown to reduce gun violence.,UL000288,unproven
"Image depicts a tweet from the World Health Organization on January 14 2020, indicating there was ""no clear evidence of human-to-human transmission of the novel #coronavirus.",UL000289,refutes
QuikTrip's Safe Place is equipped to provide a safe room and assistance to a variety of victims of violence or persons otherwise in danger.,UL000290,unproven
First-ever nivolumab study to treat aggressive anal cancer appears promising,UL000291,unproven
A young boy fell asleep wearing a Spider-Man watch and woke up the next   morning with second and third degree chemical burns on his wrist.,UL000292,unproven
An immigrant put peanut butter in a little girl's sandwich causing her to have an allergic reaction.,UL000293,unproven
Quick brain scan could screen for autism,UL000294,unproven
Yoga and Stretching Equally Effective for Back Pain,UL000295,unproven
"The city of Lake Worth Beach, Florida cut power and water services to some residents in the middle of the COVID-19 pandemic.",UL000296,unproven
"Sid Miller Says a poll showed 70 percent to 75 percent of people want to see Confederate statues ""remain up and not taken down.",UL000297,unproven
FDA approves new drug that prevents migraines without side effects,UL000298,unproven
"Small increases in physical activity reduce immobility, disability risks in older adults",UL000299,unproven
Stop-Smoking Drug May Also Curb Problem Drinking,UL000300,unproven
"In testing for allergies, a single shot may suffice",UL000301,unproven
"GENE THERAPY MIGHT BE THE BEST, AND PERHAPS ONLY, CHANCE AT CURING BRAIN DISEASES",UL000302,unproven
Drinking one diet drink a day triples a person's risk of dementia and strokes.,UL000303,unproven
Dry needling offers alternative to cortisone injection for hip pain,UL000304,unproven
A daily regimen of ingesting gin-soaked raisins will help relieve arthritis symptoms.,UL000305,unproven
"In the aftermath of two mass shootings, President Donald Trump attacked a political opponent and bragged about crowd sizes during remarks about the incidents, whereas past presidents offered words of comfort and solidarity.",UL000306,unproven
I just want to assure [you] we're not talking about cutting Medicare benefits.,UL000307,unproven
Receiving a clot-buster drug before reaching the hospital may reduce stroke disability,UL000308,unproven
"Clout-chasing teenagers are participating in the ""coronavirus challenge"" on TikTok, Instagram, and other social media platforms, sharing attempts to infect themselves and contract COVID-19.",UL000309,unproven
Polysorbate 80 and 20 are in vaccines and cause cancer in animals and are linked to autoimmune issues and infertility.,UL000310,unproven
It can survive for 6-12 hours on fabric and will be killed by normal laundry detergent .,UL000311,unproven
"Business associates of"" William Browder ""sent a huge amount of money – 400 million – as a contribution to the campaign of Hillary Clinton.",UL000312,refutes
You can absolutely get a gun if you have several felonies as long as you buy it on the Internet or at a gun show.,UL000313,unproven
"U.S. Immigration and Customs Enforcement (ICE) is planning a six-day “Citizens Academy” training, including instruction on firearms and how to make arrests, for Chicago residents in September 2020.",UL000314,refutes
Zinc may ward off viruses but there are dangers,UL000315,unproven
"Whales live as long at SeaWorld"" as they do in the wild.",UL000316,unproven
Provenge vaccine prolongs life in prostate cancer patients,UL000317,unproven
Medicating Children With ADHD Keeps Them Safer,UL000318,unproven
